LEARNER,COURSE,COURSE_VERSION,COMPLETION_DATE,COMPLETION_STATUS,CREATE_ADHOC_COURSE,COURSE_TITLE,ID
90817,HR-1005,1.0,2021-11-15,200,FALSE,Mandatory Harassment and Violence Prevention Training,0
57234,OSH-1004-VIRTUAL,1.0,2022-01-27,200,FALSE,WS BLOCK - Cost Course - $222/Person - Lock Out / Tag Out (Virtual),1
10241,OSH-1040,1.0,2021-03-03,200,FALSE,Advanced Rigger,2
56264,OSH-3003-F,1.0,2022-01-10,200,FALSE,WS BLOCK - Aerial Work Platform - Articulating Boom 85 ft or less,3
56045,RP-5008-CRL,1.0,2021-02-17,200,FALSE,R3 Radiation Source Responsible User Update,4
92040,OSH-9045-ONLINE,1.0,2021-07-21,200,FALSE,Hand Safety,5
58285,OPEX-1004,1.0,2022-03-23,200,FALSE,Fact Finding,6
53293,HR-1005,1.0,2021-11-30,400,FALSE,Mandatory Harassment and Violence Prevention Training,7
52882,HR-1005,1.0,2021-11-24,200,FALSE,Mandatory Harassment and Violence Prevention Training,8
92181,HR-1005,1.0,2021-11-09,400,FALSE,Mandatory Harassment and Violence Prevention Training,9
54542,SECU-1055,1.0,2021-06-29,200,FALSE,Canadian Nuclear Security Fitness Test (NRF),10
56505,HR-1005,1.0,2021-11-23,200,FALSE,Mandatory Harassment and Violence Prevention Training,11
92469,MS-1002,1.0,2021-11-10,400,FALSE,VIRTUAL Integrated Work Control - Enhanced,12
55773,MS-1002,1.0,2021-04-07,200,FALSE,Waiver for Integrated Work Control - Enhanced,13
90746,OSH-1004,1.0,2021-03-29,200,FALSE,Lock Out / Tag Out,14
56590,WL-306,1.0,2021-01-18,200,FALSE,Pre Job Brief,15
91640,OSH-9096-ONLINE,1.0,2022-01-11,200,FALSE,Cost Course - Cold Stress,16
60101,FIRE-1184-CRL,1.0,2021-06-02,200,FALSE,Rope Rescue: Ascending and Descending,17
52815,OSH-9070-ONLINE,1.0,2021-01-18,400,FALSE,Arc Flash Safety for Canada,18
59530,FPPD-1006,1.0,2022-01-25,200,FALSE,Fuel Programme Project Managment,19
21044,FIRE-3008-CRL,1.0,2021-05-11,200,FALSE,Confined Space Entry: Practical,20
59698,OSH-1007,1.0,2022-04-13,200,FALSE,FD - BLOCK Asbestos Module 6E,21
