LEARNER,COURSE,COURSE_VERSION,COMPLETION_DATE,COMPLETION_STATUS,CREATE_ADHOC_COURSE,COURSE_TITLE,ID
91954,RP-G3,1.0,2021-01-12,200,FALSE,Group 3 - Radiation Protection Training,0
55136,MS-1002,1.0,2021-04-07,200,FALSE,Waiver for Integrated Work Control - Enhanced,1
59995,OSH-9045-ONLINE,1.0,2021-10-27,200,FALSE,Hand Safety,2
91076,PROC-1001,1.0,2022-03-16,400,FALSE,Basic Oracle iProcurement Requisition Awareness,3
91753,OSH-9045-ONLINE,1.0,2021-08-23,400,FALSE,Hand Safety,4
56675,PMO-9016,1.0,2021-08-30,400,FALSE,Cost Course - $495/person VIRTUAL Project Resource Management,5
61475,FIRE-3012-CRL,1.0,2021-06-13,200,FALSE,Driver Training: Practical: Pumper 1,6
57577,FIRE-3001,1.0,2021-11-25,200,FALSE,Fire Extinguisher - Practical,7
60542,WMA-3008,1.0,2021-02-04,200,FALSE,Drum Truck Operator,8
92557,TD-1018-ONLINE,1.9,2022-02-15,200,FALSE,CNL General Safety Orientation,9
92631,RP-G1-011,1.0,2022-03-04,200,FALSE,Group 1 - Sources of Radiation,10
50940,OSH-9050-ONLINE,1.0,2021-06-24,200,FALSE,Lead Awareness,11
59493,OSH-3002-C,1.0,2022-01-13,400,FALSE,WS BLOCK - Lift Truck Practical - Counter Balance,12
90376,HR-1005,1.0,2021-12-08,400,FALSE,Mandatory Harassment and Violence Prevention Training,13
92214,QUAL-1013-ONLINE,3.0,2021-07-12,200,FALSE,FME Awareness CRL,14
60324,WL-307,1.0,2021-02-16,200,FALSE,Job Safety Analysis,15
91005,FIN-1004-ONLINE,1.0,2021-04-20,200,FALSE,Financial Delegation Of Authority,16
59853,HR-1005,1.0,2021-11-30,200,FALSE,Mandatory Harassment and Violence Prevention Training,17
53549,EMP-1036,1.0,2022-01-27,200,FALSE,Emergency Procedure Refresher,18
90242,PMO-9013,1.0,2021-06-01,200,FALSE,Cost Course - $495/person VIRTUAL Project Schedule Management,19
53550,OSH-9071-ONLINE,1.0,2021-04-01,200,FALSE,Electrical Safety Introduction for Canada,20
91692,OSH-1007,1.0,2021-02-11,400,FALSE,PRIVATE VIRTUAL Offering of Asbestos Module 6E,21
91887,ENG-1002,1.0,2021-03-15,200,FALSE,WHITESHELL Reduced Risk Engineering Change (RREC),22
54785,SECU-2029,1.0,2021-11-22,200,FALSE,Security Awareness Refresher,23
90994,OSH-1027,1.0,2021-08-05,200,FALSE,Lead (Pb) Hazards and Control Awareness,24
90596,PHAI-1027,1.0,2021-06-17,200,FALSE,Responsibilities In Supervising Employees (RISE) for PHAI,25
57830,TD-9045,1.0,2021-06-24,200,FALSE,Cost Course $1031.25/person (MAX) - Cultural Awareness and Reconciliation Training,26
57032,FIRE-3049-CRL,1.0,2021-06-23,200,FALSE,Fire Hose: Practical: Pre-connected Hose Loads (Skills 9 to 11),27
92614,FIRE-3001,1.0,2022-01-24,200,FALSE,(NEO) Fire Extinguisher,28
92315,HR-1005,1.0,2021-11-04,200,FALSE,Mandatory Harassment and Violence Prevention Training,29
59574,OSH-9045-ONLINE,1.0,2021-08-31,200,FALSE,Hand Safety,30
59593,SECU-3041,1.0,2021-11-10,200,FALSE,Primary Firearms Qualification (Colt C8 Carbine),31
51501,FIRE-3001,1.0,2021-08-23,200,FALSE,(NEO) Fire Extinguisher,32
59757,OSH-1004-VIRTUAL,1.0,2022-04-14,400,FALSE,FD - BLOCK VIRTUAL COST COURSE - $222/PERSON - LOCK OUT / TAG OUT (VIRTUAL),33
91602,HR-1005,1.0,2021-12-08,200,FALSE,Mandatory Harassment and Violence Prevention Training,34
20836,TDG-1007-H-EXAM,1.6,2022-01-31,200,FALSE,TDG Class 7 Radioactive Material - Handler Exam,35
92329,RP-G1-014,1.0,2021-09-20,200,FALSE,Group 1 - Radiation Detector Theory,36
59476,HR-1005,1.0,2021-11-08,200,FALSE,Mandatory Harassment and Violence Prevention Training,37
95074,OSH-1042-ONLINE,12.5,2022-04-12,200,FALSE,WHMIS - 2015,38
91627,OSH-9103,1.0,2022-03-29,200,FALSE,Mental Health First Aid (Virtual),39
91232,OSH-3005,1.0,2021-06-10,200,FALSE,Private Offering for FD - Working at Heights Practical,40
60310,SECU-2029,1.4,2021-07-15,200,FALSE,Security Awareness Refresher (1.4),41
54184,WL-308,1.0,2021-10-18,200,FALSE,Integrated Work Control,42
59855,WMA-3008,1.0,2022-01-24,400,FALSE,WS BLOCK - Drum Truck Operator,43
10717,RP-G2M1-WL,1.0,2021-03-04,200,FALSE,Group 2 Module 1 WL,44
60757,WL-315,1.0,2021-04-26,200,FALSE,Respectful Work Place,45
90913,HU-1038,1.0,2021-04-06,200,FALSE,(NEO) VIRTUAL Human Performance Awareness - Fundamentals and Nuclear Safety Culture,46
90344,TDG-1007-H,1.0,2021-01-19,200,FALSE,TDG Class 7 Radioactive Material - Handler (R3),47
56045,OSH-3005,1.0,2022-01-13,200,FALSE,WS BLOCK - Working at Heights Practical,48
59561,EMP-1007,1.0,2021-05-04,200,FALSE,EOC - EOC Briefings,49
91137,ENG-1001,1.0,2021-01-21,200,FALSE,Eng. Change Control: Engineering/Operations,50
10241,FIRE-3001,1.0,2021-05-26,400,FALSE,Fire Extinguisher - Practical,51
95021,TD-1001,1.0,2022-03-08,200,FALSE,Employee Orientation - CRL,52
57023,OSH-9098-ONLINE,1.0,2021-05-06,400,FALSE,Cost Course - Safety Inspections and Observations,53
91779,RP-1006,1.0,2021-01-08,200,FALSE,Fume Hood Update Training,54
91772,RP-G1-034,1.0,2021-01-07,200,FALSE,M10 C3  - Personnel Contamination,55
90018,WL-304,1.0,2021-02-24,200,FALSE,Work Permit Authorization Process,56
95025,HU-1038,1.0,2022-03-08,200,FALSE,Human Performance Awareness - Fundamentals and Nuclear Safety Culture,57
90687,WL-306,1.0,2021-01-20,200,FALSE,Pre Job Brief,58
59311,PMO-9013,1.0,2021-06-16,200,FALSE,Cost Course - $495/person VIRTUAL Project Schedule Management,59
54181,TD-9044,1.0,2021-05-06,200,FALSE,"Cost Course $1,787/Person(MAX) - Critical Thinking",60
58367,TD-1032,1.0,2021-05-03,200,FALSE,Responsibilities In Supervising Employees (RISE) Day 1 of 3,61
92056,ENG-1001,1.0,2021-05-05,200,FALSE,Eng. Change Control: Engineering/Operations,62
