LEARNER,COURSE,COURSE_VERSION,COMPLETION_DATE,COMPLETION_STATUS,CREATE_ADHOC_COURSE,COURSE_TITLE,ID
60254,SECU-2029,1.0,2021-06-16,200,FALSE,Security Awareness Refresher,0
91372,HR-9002,1.0,2021-04-12,200,FALSE,Performance Management Training Module 2,1
59114,WL-308,1.0,2021-04-15,200,FALSE,Integrated Work Control,2
58214,OSH-9045-ONLINE,1.0,2021-08-24,200,FALSE,Hand Safety,3
51376,PMO-9012,1.0,2021-04-08,400,FALSE,Cost Course - $495/person VIRTUAL Project Scope Management,4
91908,RP-G2-FCO,1.0,2022-03-10,200,FALSE,Group 2 Practical Field Checkout – Generic Facility/Laboratory,5
91857,HR-1005,1.0,2021-11-04,200,FALSE,Mandatory Harassment and Violence Prevention Training,6
92512,RP-G1-008,1.0,2022-03-18,200,FALSE,Group 1 - Modes of Exposure,7
61362,HR-1005,1.0,2021-11-08,200,FALSE,Mandatory Harassment and Violence Prevention Training,8
54013,FIRE-1001-ONLINE,4.7,2021-11-25,200,FALSE,Fire Prevention,9
59146,EMP-1036,0.2,2022-02-23,200,FALSE,Emergency Procedure Refresher (0.2),10
92329,RP-1013,1.0,2021-10-27,200,FALSE,TDG Class 7 Radioactive Material - RAMT Training,11
60987,OPEX-1002,1.0,2021-08-12,200,FALSE,Apparent Cause Analysis (ACA),12
55293,HR-1005,1.0,2021-11-24,200,FALSE,Virtual Mandatory Harassment and Violence Prevention Training,13
90531,HR-1005,1.0,2021-12-14,200,FALSE,Mandatory Harassment and Violence Prevention Training,14
56852,TDG-1007-H,1.0,2022-01-31,200,FALSE,TDG Class 7 Radioactive Material - Handler (R3),15
59484,ENVP-1002-WMA,1.0,2022-01-14,400,FALSE,WS BLOCK - EnvP Facility Specific Training - Waste Management Program,16
92100,SECU-4007,1.0,2021-06-03,200,FALSE,Outer Gate,17
55174,HR-1004,1.0,2021-06-29,200,FALSE,Managing Alcohol and Drug Use,18
95055,OPEX-1005-ONLINE,1.4,2022-04-04,200,FALSE,Introducing the ImpAct Process at CNL,19
92275,OSH-3005,1.0,2021-07-07,200,FALSE,Group 1 Offering of Working at Heights Practical,20
91918,RP-1013,1.0,2021-08-17,200,FALSE,TDG Class 7 Radioactive Material - RAMT Training,21
55995,OSH-9070-ONLINE,1.0,2021-02-12,200,FALSE,Arc Flash Safety for Canada,22
90227,PMO-1003-A,1.0,2021-08-26,400,FALSE,Primavera - Basic,23
90326,SECU-2029,1.4,2021-10-14,200,FALSE,Security Awareness Refresher (1.4),24
56232,WL-304,1.0,2021-02-24,200,FALSE,Work Permit Authorization Process,25
57000,SECU-2029,1.0,2021-04-23,200,FALSE,Security Awareness Refresher,26
20503,SECU-2029,1.0,2021-05-11,200,FALSE,Security Awareness Refresher,27
92095,SECU-3004,1.0,2021-04-22,200,FALSE,Westminster X-Ray Inspection Unit,28
90227,PMO-9018,1.0,2021-11-24,200,FALSE,Cost Course - $495/person VIRTUAL Project Quality Management,29
90383,WMA-1002,1.0,2022-01-25,200,FALSE,Waste Management Program Awareness,30
60254,EMP-1036,0.2,2022-02-12,200,FALSE,Emergency Procedure Refresher (0.2),31
58707,EMP-1036,1.0,2022-02-01,200,FALSE,Emergency Procedure Refresher,32
58406,RP-G3-FCO,1.0,2021-04-06,200,FALSE,Group 3 Practical Field Checkout,33
53786,HR-1005,1.0,2021-12-06,200,FALSE,Mandatory Harassment and Violence Prevention Training,34
57632,PB-1002-ONLINE,2.2,2022-01-28,200,FALSE,Pressure Boundary Awareness and Route Sheet Familiarization,35
