LEARNER,COURSE,COURSE_VERSION,COMPLETION_DATE,COMPLETION_STATUS,CREATE_ADHOC_COURSE,COURSE_TITLE,ID
91396,EMP-1002,1.0,2021-01-13,200,FALSE,EOC - CRL EOC Overview,0
53779,MS-1004-WL,1.0,2021-03-08,200,FALSE,Integrated Work Control 5 Core Elements,1
58597,WL-307,1.0,2021-02-02,200,FALSE,Job Safety Analysis,2
60980,WL-308,1.0,2021-02-10,200,FALSE,Integrated Work Control,3
90086,FIRE-1001-ONLINE,4.7,2022-01-13,200,FALSE,Fire Prevention,4
90323,EMP-1036,0.2,2022-04-06,200,FALSE,Emergency Procedure Refresher (0.2),5
91917,RP-G1-002,1.0,2021-03-01,200,FALSE,Group 1 - Documentation,6
92097,SECU-1031,1.0,2021-11-26,200,FALSE,Secondary Firearm (Sig Sauer Operators Course),7
91938,RD-3012,1.0,2021-11-23,200,FALSE,"Criticality Safety Document (CSD) Training, B300-508550-CSD-001",8
60949,WCS-1007,1.0,2022-01-25,200,FALSE,ERM HBK Module 7: Basics of Sampling,9
52704,TD-9040,1.0,2021-05-12,400,FALSE,Writing CNL Scopes of Work for External Resources,10
56675,RP-G3-REFRESHER-ONLINE,1.5,2022-01-04,200,FALSE,Group 3 Radiation Protection Refresher,11
60259,ERM-1004-ONLINE,2.0,2022-04-12,200,FALSE,Decommissioning and Demolition Program Awareness,12
92339,FIRE-3001,1.0,2021-09-22,200,FALSE,Fire Extinguisher - Practical,13
95028,RP-G3,1.0,2022-04-19,200,FALSE,Group 3 - Radiation Protection Training,14
91665,MS-1002,1.0,2021-07-21,200,FALSE,VIRTUAL Integrated Work Control - Enhanced,15
50116,ERM-1002,1.0,2021-08-12,200,FALSE,Land Use Program (LUP) Awareness,16
60979,OSH-3005,1.0,2021-09-28,200,FALSE,Working at Heights Practical,17
56955,FIRE-3001,1.0,2022-03-23,200,FALSE,Fire Extinguisher - Practical,18
90574,SECU-2029,1.0,2021-07-15,200,FALSE,Security Awareness Refresher,19
